Sorszám;Munka;Neme;Életkor;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
23;['műszaki szerelő'];férfi;78;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;halak;bika;bika;ikrek;rák;rák;szűz;skorpió;skorpió;nyilas;bak;kos;halak;kos;halak;ikrek;oroszlán;ikrek;ikrek;mérleg;oroszlán;5;nincs hazur;1;1;nincs hazur;2;2;2;5;5;7;5;2;2;2;1;5;7;5;4;8;7;konjukcio;konjukcio;-;kvadrat;-;-;-;oppozicio;trigon;-;-;kvadrat;-;kvadrat;-;oppozicio;-;-;-;-;-;-;oppozicio;trigon;-;-;-;kvadrat;-;-;-;konjukcio;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-
24;[];nő;19;hold-vénusz;önfeláldozó;+ nap;- hold;nap;uránusz (kvadrát);oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;bika;rák;ikrek;ikrek;ikrek;rák;ikrek;vízöntő;vízöntő;nyilas;10;10;nincs hazur;10;nincs hazur;nincs hazur;nincs hazur;12;nincs hazur;12;nincs hazur;10;10;12;10;12;10;12;10;7;6;4;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;oppozicio;konjukcio;-;-;trigon;-;-;-;konjukcio;trigon;-;oppozicio;-;-;-;-;-;trigon;oppozicio;-;-;-
25;[];nő;47;nap-mars;önfeláldozó vagy áldozat;+ nap;a hold nem sérült;nap;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;mérleg;bika;skorpió;mérleg;mérleg;halak;rák;mérleg;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;4;11;11;nincs hazur;6;11;1;nincs hazur;11;6;1;11;11;4;9;12;1;11;-;-;-;konjukcio;-;-;-;-;konjukcio;oppozicio;-;-;-;-;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;konjukcio;-;kvadrat;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;-;-
26;['irodai alkalmazott', 'cég felszámolás'];nő;63;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;neptun (kvadrát);bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;halak;oroszlán;kos;bika;ikrek;nyilas;bak;oroszlán;skorpió;szűz;nincs hazur;1;6;3;3;3;7;2;nincs hazur;nincs hazur;nincs hazur;11;2;7;3;3;6;11;1;7;10;8;-;-;-;-;-;kvadrat;-;-;-;trigon;-;-;trigon;-;konjukcio;kvadrat;-;-;-;-;kvadrat;trigon;-;-;-;-;trigon;-;oppozicio;trigon;-;-;-;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-
27;['fodrász', 'gyári segédmunkás'];nő;19;hold-vénusz;önfeláldozó vagy áldozat;a nap nem sérült;- hold;nap;asc (oppozíció);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;halak;kos;halak;vízöntő;bak;oroszlán;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;4;11;nincs hazur;10;nincs hazur;nincs hazur;5;6;8;7;7;8;6;5;4;11;10;6;5;4;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;trigon;-;-;-;-;trigon;-;-;-;-;konjukcio;-;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;oppozicio;-;-;-
28;['állatorvos'];férfi;20;hold-mars;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;ikrek;bak;oroszlán;bak;bak;halak;rák;ikrek;vízöntő;vízöntő;nyilas;3;3;7;8;7;1;nincs hazur;nincs hazur;12;nincs hazur;10;nincs hazur;7;3;8;7;10;1;12;9;8;6;-;-;konjukcio;-;oppozicio;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;trigon;oppozicio;-;-;-
29;['óvónő'];nő;20;hold-vénusz;független vagy kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;rák;rák;oroszlán;szűz;mérleg;skorpió;bak;bak;vízöntő;halak;kos;bika;kos;rák;bika;bika;ikrek;rák;ikrek;vízöntő;vízöntő;nyilas;1;1;11;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;nincs hazur;12;11;11;1;11;11;12;1;12;9;8;6;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;trigon;oppozicio;-;-;-
30;['festő', 'porcelánfestő'];nő;77;szaturnusz;önfeláldozó;+ nap;a hold nem sérült;hold;Nincs anaréta;vízöntő;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;halak;skorpió;halak;kos;vízöntő;szűz;rák;ikrek;mérleg;oroszlán;nincs hazur;1;nincs hazur;1;9;9;1;2;nincs hazur;nincs hazur;5;5;1;9;1;2;1;7;5;4;7;6;-;konjukcio;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;oppozicio;-;-;-;-;-;kvadrat;-;trigon;-;-
31;['informatikus'];férfi;20;hold-mars;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;hold;neptun (kvadrát);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;mérleg;bika;mérleg;szűz;bak;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;1;4;nincs hazur;10;nincs hazur;10;nincs hazur;nincs hazur;2;9;2;2;9;2;1;4;10;10;6;5;4;-;-;-;kvadrat;-;-;-;trigon;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;trigon;kvadrat;-;trigon;-;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;-;-;trigon;-;oppozicio;-;-;-
32;[];nő;44;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;nyilas;kos;bak;nyilas;oroszlán;rák;szűz;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;nincs hazur;8;9;nincs hazur;nincs hazur;2;2;nincs hazur;1;nincs hazur;2;5;2;1;9;8;9;1;1;12;trigon;konjukcio;konjukcio;-;oppozicio;-;-;-;-;trigon;-;-;-;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
33;['turizmus'];férfi;18;hold-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;bak;rák;nyilas;vízöntő;kos;szűz;rák;halak;vízöntő;nyilas;5;5;6;nincs hazur;nincs hazur;12;12;2;8;nincs hazur;nincs hazur;5;5;12;5;6;8;2;12;7;6;4;-;-;-;kvadrat;trigon;oppozicio;-;-;-;-;-;kvadrat;-;konjukcio;trigon;-;-;-;-;kvadrat;-;-;-;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-
34;['informatikus'];férfi;22;nap;kiszolgáltatott;a nap nem sérült;+ hold;nap;pluto (oppozíció);skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;ikrek;szűz;bika;rák;mérleg;kos;bika;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;nincs hazur;12;8;8;7;7;nincs hazur;nincs hazur;nincs hazur;7;10;7;8;12;5;6;3;3;1;-;konjukcio;-;-;-;-;-;trigon;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;kvadrat;-;-;-;-
35;['gépész'];férfi;21;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;rák;bika;rák;rák;rák;bika;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;6;nincs hazur;6;4;4;nincs hazur;6;nincs hazur;4;nincs hazur;6;4;6;6;6;4;4;1;1;12;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;konjukcio;konjukcio;kvadrat;-;-;konjukcio;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
36;[];férfi;19;hold-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;kos;ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;vízöntő;rák;vízöntő;bak;nyilas;oroszlán;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;11;11;3;11;nincs hazur;10;5;5;nincs hazur;3;nincs hazur;11;3;11;10;8;5;3;11;11;9;-;-;-;-;-;-;konjukcio;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;konjukcio;-;-;oppozicio;trigon;-;-;oppozicio;-;-;-
37;[];nő;16;hold-vénusz;kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;bak;vízöntő;halak;bika;bika;ikrek;rák;oroszlán;szűz;skorpió;skorpió;nyilas;skorpió;rák;nyilas;bak;bika;skorpió;oroszlán;halak;vízöntő;nyilas;nincs hazur;8;nincs hazur;1;1;11;7;11;nincs hazur;4;4;10;11;7;11;1;4;10;8;2;2;12;-;-;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;trigon;-;-;-;-;-;trigon;-;-;-;trigon;-;-;-;-;-;oppozicio;kvadrat;-;kvadrat;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-
38;['katona'];férfi;21;nap;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;vízöntő;kos;bika;ikrek;ikrek;rák;oroszlán;mérleg;skorpió;nyilas;nyilas;bak;szűz;vízöntő;halak;skorpió;ikrek;bika;vízöntő;vízöntő;nyilas;nincs hazur;4;10;2;nincs hazur;nincs hazur;8;1;nincs hazur;nincs hazur;nincs hazur;nincs hazur;1;8;1;2;10;5;4;1;1;11;-;-;-;-;trigon;trigon;-;-;-;-;-;-;trigon;trigon;-;-;-;-;-;trigon;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
39;['katona'];férfi;17;hold-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;pluto (oppozíció);oroszlán;oroszlán;szűz;mérleg;skorpió;bak;vízöntő;vízöntő;halak;kos;bika;rák;ikrek;vízöntő;ikrek;ikrek;rák;szűz;rák;halak;vízöntő;nyilas;11;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;12;3;12;11;8;11;8;11;11;12;3;12;8;7;5;-;-;konjukcio;-;-;-;-;trigon;oppozicio;kvadrat;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;trigon;oppozicio;-;konjukcio;-;-;-;-;oppozicio;-;-;trigon;-;-;-;-;-
40;['könyvtáros'];nő;20;hold-vénusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bika;ikrek;rák;oroszlán;oroszlán;mérleg;skorpió;nyilas;bak;vízöntő;vízöntő;kos;ikrek;ikrek;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;1;nincs hazur;1;2;2;nincs hazur;8;nincs hazur;1;nincs hazur;nincs hazur;nincs hazur;2;1;2;1;8;2;1;11;10;7;-;konjukcio;-;-;konjukcio;-;-;-;-;-;-;-;-;konjukcio;-;-;oppozicio;-;oppozicio;konjukcio;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;konjukcio;-;-;-;-;-;-;oppozicio;-;-;-
41;['vendéglátás', 'asztrológus'];férfi;62;jupiter-szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;szűz;mérleg;skorpió;bak;vízöntő;halak;halak;kos;bika;rák;oroszlán;szűz;mérleg;szűz;szűz;szűz;skorpió;bak;oroszlán;skorpió;szűz;1;1;nincs hazur;2;5;nincs hazur;4;4;nincs hazur;1;2;1;1;2;1;1;2;4;5;12;3;1;-;-;konjukcio;-;-;-;-;-;konjukcio;-;-;-;-;kvadrat;-;-;-;konjukcio;-;kvadrat;trigon;-;-;konjukcio;-;-;trigon;-;-;konjukcio;-;kvadrat;-;-;-;-;-;-;-;-;-;trigon;-;-;-
42;[];nő;17;hold-vénusz;kiszolgáltatott;+ nap;- hold;nap;pluto (oppozíció);oroszlán;oroszlán;szűz;mérleg;skorpió;bak;vízöntő;vízöntő;halak;kos;bika;rák;ikrek;vízöntő;ikrek;ikrek;rák;szűz;rák;halak;vízöntő;nyilas;11;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;12;3;12;11;8;11;8;11;11;12;3;12;8;7;5;-;-;konjukcio;-;-;-;-;trigon;oppozicio;kvadrat;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;trigon;oppozicio;-;konjukcio;-;-;-;-;oppozicio;-;-;trigon;-;-;-;-;-
43;[];nő;16;hold-vénusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;neptun (oppozíció);skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;rák;oroszlán;oroszlán;oroszlán;kos;mérleg;rák;halak;vízöntő;nyilas;nincs hazur;10;nincs hazur;nincs hazur;5;9;9;nincs hazur;8;9;nincs hazur;nincs hazur;8;9;9;9;5;10;8;3;3;1;-;-;-;kvadrat;kvadrat;-;trigon;-;-;konjukcio;konjukcio;-;-;-;-;oppozicio;-;konjukcio;trigon;-;-;-;oppozicio;-;trigon;-;-;-;oppozicio;-;oppozicio;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-
44;[];férfi;21;nap;kiszolgáltatott;- nap;a hold nem sérült;ASC;Nincs anaréta;mérleg;skorpió;nyilas;bak;halak;halak;kos;bika;ikrek;rák;szűz;szűz;bika;vízöntő;ikrek;kos;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;6;nincs hazur;nincs hazur;nincs hazur;8;8;3;nincs hazur;nincs hazur;4;8;8;8;4;8;6;3;8;8;4;4;2;-;-;-;-;-;-;kvadrat;-;-;trigon;-;-;trigon;-;-;konjukcio;-;-;-;konjukcio;-;-;trigon;oppozicio;-;-;-;-;-;trigon;-;-;-;-;-;-;-;trigon;oppozicio;-;trigon;-;-;-;-
45;['régész'];nő;20;hold-vénusz;önfeláldozó;a nap nem sérült;- hold;ASC;Nincs anaréta;nyilas;bak;halak;kos;bika;ikrek;ikrek;rák;szűz;mérleg;skorpió;nyilas;skorpió;oroszlán;mérleg;mérleg;vízöntő;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;7;nincs hazur;10;nincs hazur;nincs hazur;8;10;nincs hazur;2;nincs hazur;12;8;10;10;2;7;6;2;2;1;-;-;-;-;trigon;-;-;-;-;kvadrat;kvadrat;oppozicio;-;-;-;oppozicio;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;konjukcio;-;-;-;-;-;trigon;trigon;oppozicio;-;-;-
46;[];nő;9;hold-merkúr;önfeláldozó vagy áldozat;+ nap;a hold nem sérült;nap;mars (kvadrát);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;ikrek;ikrek;rák;ikrek;szűz;ikrek;mérleg;kos;halak;bak;nincs hazur;12;nincs hazur;1;nincs hazur;8;nincs hazur;8;10;9;9;nincs hazur;9;9;10;8;12;8;1;6;5;3;-;-;-;kvadrat;-;-;-;trigon;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;kvadrat;-
47;[];nő;7;hold-merkúr;önfeláldozó;+ nap;a hold nem sérült;nap;uránusz (oppozíció);bak;vízöntő;kos;bika;ikrek;ikrek;rák;oroszlán;mérleg;skorpió;nyilas;nyilas;mérleg;bak;skorpió;mérleg;nyilas;oroszlán;skorpió;kos;halak;bak;10;nincs hazur;11;8;9;9;1;9;nincs hazur;nincs hazur;7;7;9;1;9;8;11;7;10;3;2;1;-;-;konjukcio;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;kvadrat;-
48;['szépségszalon'];nő;44;nap-mars;önfeláldozó vagy áldozat;+ nap;a hold nem sérült;nap;neptun (oppozíció);oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;ikrek;mérleg;bika;kos;kos;ikrek;oroszlán;skorpió;nyilas;mérleg;10;nincs hazur;nincs hazur;9;nincs hazur;1;nincs hazur;11;nincs hazur;9;10;3;10;3;10;9;9;11;1;4;5;3;-;-;-;-;konjukcio;-;-;oppozicio;-;-;oppozicio;oppozicio;-;-;-;-;konjukcio;-;-;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;kvadrat;trigon;-;-;-;-
49;[];nő;18;hold-vénusz;önfeláldozó;+ nap;a hold nem sérült;nap;pluto (kvadrát);ikrek;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;halak;bak;kos;bika;bika;szűz;rák;halak;vízöntő;nyilas;11;9;11;11;nincs hazur;12;nincs hazur;1;nincs hazur;nincs hazur;4;12;11;9;11;12;12;4;1;10;9;7;-;-;-;-;-;-;-;-;kvadrat;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-
50;[];férfi;23;nap;még nem tudjuk kiszámolni;- nap;+ hold;hold;mars (kvadrát);bika;ikrek;rák;rák;oroszlán;szűz;skorpió;nyilas;bak;bak;vízöntő;halak;nyilas;bak;nyilas;bak;mérleg;halak;kos;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;9;9;8;7;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;12;8;9;7;9;6;12;12;10;10;8;-;-;-;-;kvadrat;trigon;-;-;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;-;-;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;-;kvadrat;-;-;-;-
51;[];nő;23;hold;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;hold;mars (kvadrát);bika;ikrek;rák;rák;oroszlán;szűz;skorpió;nyilas;bak;bak;vízöntő;halak;nyilas;bak;nyilas;bak;mérleg;halak;kos;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;9;9;8;7;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;12;8;9;7;9;6;12;12;10;10;8;-;-;-;-;kvadrat;trigon;-;-;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;-;-;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;-;kvadrat;-;-;-;-
52;[''];nő;25;hold;még nem tudjuk kiszámolni;+ nap;a hold nem sérült;nap;Nincs anaréta;skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;szűz;szűz;szűz;oroszlán;oroszlán;bak;kos;vízöntő;bak;nyilas;9;nincs hazur;4;2;nincs hazur;9;9;nincs hazur;10;10;nincs hazur;9;10;10;10;9;9;2;4;3;2;1;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;konjukcio;-;trigon;oppozicio;-;-;-;trigon;oppozicio;oppozicio;-;kvadrat;-;-;-;-;-;trigon;konjukcio;-;-
53;[];férfi;72;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;hold;pluto (oppozíció);ikrek;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;nyilas;vízöntő;nyilas;bak;szűz;bak;szűz;rák;mérleg;oroszlán;nincs hazur;10;10;6;6;nincs hazur;nincs hazur;nincs hazur;nincs hazur;5;9;5;6;10;6;9;5;9;5;2;5;4;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-;-;-;-;-;trigon;-;trigon;-;kvadrat;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-
54;['jog'];nő;36;nap-jupiter;kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;bak;vízöntő;kos;bika;ikrek;ikrek;rák;oroszlán;mérleg;skorpió;nyilas;nyilas;mérleg;nyilas;skorpió;mérleg;szűz;vízöntő;skorpió;nyilas;bak;skorpió;11;nincs hazur;8;8;nincs hazur;nincs hazur;11;9;nincs hazur;nincs hazur;1;1;9;11;10;8;8;1;11;11;1;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55;['zenész'];nő;57;jupiter-szaturnusz;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;nyilas;rák;nyilas;nyilas;szűz;bika;halak;szűz;skorpió;szűz;10;nincs hazur;4;nincs hazur;7;nincs hazur;nincs hazur;nincs hazur;9;2;2;1;2;9;2;1;10;7;4;10;1;10;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;trigon;-;konjukcio;-;konjukcio;-;trigon;oppozicio;trigon;-;-;-;-;konjukcio;-
56;['zenész'];férfi;47;nap-mars;kiszolgáltatott;- nap;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;halak;vízöntő;vízöntő;kos;vízöntő;halak;rák;skorpió;nyilas;mérleg;8;6;9;nincs hazur;nincs hazur;nincs hazur;nincs hazur;8;6;nincs hazur;nincs hazur;8;8;6;6;9;6;8;12;3;4;2;-;-;-;-;-;trigon;-;kvadrat;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;trigon;-;-;-;kvadrat;-;trigon;-;-;-;-;-;-;-;-;-;-
57;['fodrász'];nő;47;nap-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;halak;vízöntő;vízöntő;kos;vízöntő;halak;rák;skorpió;nyilas;mérleg;8;6;9;nincs hazur;nincs hazur;nincs hazur;nincs hazur;8;6;nincs hazur;nincs hazur;8;8;6;6;9;6;8;12;3;4;2;-;-;-;-;-;trigon;-;kvadrat;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;trigon;-;-;-;kvadrat;-;trigon;-;-;-;-;-;-;-;-;-;-
58;['Zenéz?'];férfi;57;jupiter-szaturnusz;még nem tudjuk kiszámolni;a nap nem sérült;+ hold;hold;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;nyilas;rák;nyilas;nyilas;szűz;bika;halak;szűz;skorpió;szűz;10;nincs hazur;4;nincs hazur;7;nincs hazur;nincs hazur;nincs hazur;9;2;2;1;2;9;2;1;10;7;4;10;1;10;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;trigon;-;konjukcio;-;konjukcio;-;trigon;oppozicio;trigon;-;-;-;-;konjukcio;-
59;['jogi asszisztens', 'nemzetközi tanulmányok'];nő;33;nap;önfeláldozó;+ nap;a hold nem sérült;hold;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;oroszlán;mérleg;mérleg;halak;ikrek;nyilas;nyilas;bak;skorpió;5;8;2;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;9;1;nincs hazur;11;1;9;12;11;5;8;2;2;2;1;-;-;-;-;-;-;-;-;konjukcio;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;trigon;-;-;-;-;-;kvadrat;kvadrat;kvadrat;-;-;-;-;-;konjukcio;-;-;-;-;-
